name,class,pos,rate,star,school,conf,year
Isaiah Bond,recruit,WR,5.9,4,alabama,SEC,2022
Kobe Prentice,recruit,WR,5.9,4,alabama,SEC,2022
Shazz Preston,recruit,WR,6.0,4,alabama,SEC,2022
Amari Niblack,recruit,WR,5.9,4,alabama,SEC,2022
Aaron Anderson,recruit,WR,6.1,5,alabama,SEC,2022
Jamarion Miller,recruit,RB,5.9,4,alabama,SEC,2022
Kendrick Law,recruit,ATH,5.9,4,alabama,SEC,2022
Emmanuel Henderson,recruit,ATH,6.0,4,alabama,SEC,2022
Ty Simpson,recruit,QB,6.0,4,alabama,SEC,2022
Miles Kitselman,recruit,TE,5.6,3,alabama,SEC,2022
Danny Lewis,recruit,TE,5.7,3,alabama,SEC,2022
Elijah Brown,recruit,TE,5.8,4,alabama,SEC,2022
Sam Mbake,recruit,WR,5.7,3,arkansas,SEC,2022
Quincey McAdoo,recruit,WR,5.8,4,arkansas,SEC,2022
Isaiah Sategna,recruit,WR,5.9,4,arkansas,SEC,2022
James Jointer Jr,recruit,RB,5.6,3,arkansas,SEC,2022
Kaden Henley,recruit,ATH,5.5,3,arkansas,SEC,2022
Anthony Brown,recruit,ATH,5.7,3,arkansas,SEC,2022
Rashod Dubinion,recruit,RB,5.8,4,arkansas,SEC,2022
Tyrus Washington,recruit,TE,5.7,3,arkansas,SEC,2022
Dax Courtney,recruit,TE,5.5,3,arkansas,SEC,2022
Camden Brown,recruit,WR,5.8,4,auburn,SEC,2022
Omari Kelly,recruit,WR,5.8,4,auburn,SEC,2022
Jay Fair,recruit,WR,5.6,3,auburn,SEC,2022
Holden Geriner,recruit,QB,5.7,3,auburn,SEC,2022
Damari Alston,recruit,RB,5.8,4,auburn,SEC,2022
Micah Riley-Ducker,recruit,TE,5.8,4,auburn,SEC,2022
Caleb Douglas,recruit,WR,5.7,3,florida,SEC,2022
Arlis Boardingham,recruit,ATH,5.6,3,florida,SEC,2022
Max Brown,recruit,QB,5.3,2,florida,SEC,2022
Trevor Etienne,recruit,RB,5.9,4,florida,SEC,2022
Hayden Hansen,recruit,TE,5.4,2,florida,SEC,2022
Jordan Anthony,recruit,WR,5.8,4,kentucky,SEC,2022
Barion Brown,recruit,WR,5.9,4,kentucky,SEC,2022
Dane Key,recruit,WR,5.8,4,kentucky,SEC,2022
