name,class,pos,rate,star,school,conf,year
Cedric Lott,recruit,WR,5.5,3,Boston,ACC,2024
Turbo Richard,recruit,RB,5.5,3,Boston,ACC,2024
Syair Torrence,recruit,ATH,5.5,3,Boston,ACC,2024
Charlie Comella,recruit,ATH,5.5,3,Boston,ACC,2024
Kemori Dixon,recruit,ATH,5.5,3,Boston,ACC,2024
Johnathan Montague Jr.,recruit,QB,5.5,3,Boston,ACC,2024
Ryan Boultwood,recruit,TE,5.5,3,Boston,ACC,2024
Bryant Wesco,recruit,WR,5.9,4,Clemson,ACC,2024
Terrance Moore,recruit,WR,6.0,4,Clemson,ACC,2024
David Eziomume,recruit,RB,5.8,4,Clemson,ACC,2024
Christian Bentancur,recruit,TE,5.9,4,Clemson,ACC,2024
Zach Jackson,recruit,WR,5.5,3,Duke,ACC,2024
Jayden Moore,recruit,ATH,5.6,3,Duke,ACC,2024
Chase Tyler,recruit,ATH,5.8,4,Duke,ACC,2024
Da'Vontae Floyd,recruit,ATH,5.6,3,Duke,ACC,2024
Brett Elliott,recruit,TE,5.5,3,Duke,ACC,2024
Camdon Frier,recruit,WR,5.8,4,FSU,ACC,2024
Lawayne McCoy,recruit,WR,5.9,4,FSU,ACC,2024
Elijah Moore,recruit,WR,5.9,4,FSU,ACC,2024
Kameron Davis,recruit,RB,5.9,4,FSU,ACC,2024
BJ Gibson,recruit,ATH,5.8,4,FSU,ACC,2024
Micahi Danzy,recruit,ATH,5.8,4,FSU,ACC,2024
Luke Kromenhoek,recruit,QB,5.9,4,FSU,ACC,2024
Landen Thomas,recruit,TE,5.9,4,FSU,ACC,2024
Trey Horne,recruit,WR,5.7,3,Georgia,ACC,2024
Isiah Canion,recruit,WR,5.8,4,Georgia,ACC,2024
Trelain Maddox,recruit,ATH,5.6,3,Georgia,ACC,2024
Graham Knowles,recruit,QB,5.6,3,Georgia,ACC,2024
Aaron Philo,recruit,QB,5.8,4,Georgia,ACC,2024
Anthony Carrie,recruit,RB,5.9,4,Georgia,ACC,2024
Luke Harpring,recruit,TE,5.6,3,Georgia,ACC,2024
David Prince,recruit,TE,5.5,3,Georgia,ACC,2024
Joseph Stone Jr.,recruit,WR,5.8,4,Louisville,ACC,2024
Shaun Boykins Jr,recruit,WR,5.6,3,Louisville,ACC,2024
Duke Watson,recruit,RB,5.8,4,Louisville,ACC,2024
Deuce Adams,recruit,QB,5.7,3,Louisville,ACC,2024
Isaac Brown,recruit,RB,5.7,3,Louisville,ACC,2024
Dylan Mesman,recruit,TE,5.8,4,Louisville,ACC,2024
Chance Robinson,recruit,WR,5.9,4,Miami,ACC,2024
Ny Carr,recruit,WR,6.0,4,Miami,ACC,2024
Joshisa Trader,recruit,WR,6.0,4,Miami,ACC,2024
Jordan Lyle,recruit,RB,5.9,4,Miami,ACC,2024
Chris Wheatley-Humphrey,recruit,ATH,5.7,3,Miami,ACC,2024
Judd Anderson,recruit,QB,5.6,3,Miami,ACC,2024
Elija Lofton,recruit,TE,5.8,4,Miami,ACC,2024
Jonathan Paylor,recruit,WR,5.9,4,NC State,ACC,2024
Christian Zachary,recruit,WR,5.5,3,NC State,ACC,2024
Terrell Anderson,recruit,WR,5.8,4,NC State,ACC,2024
Keenan Jackson,recruit,WR,5.8,4,NC State,ACC,2024
Duke Scott,recruit,RB,5.7,3,NC State,ACC,2024
Isiah Jones,recruit,RB,5.5,3,NC State,ACC,2024
Ronnie Royal,recruit,ATH,5.8,4,NC State,ACC,2024
Jimmar Boston,recruit,ATH,5.5,3,NC State,ACC,2024
Cedrick Bailey Jr,recruit,QB,5.8,4,NC State,ACC,2024
Dante Daniels,recruit,TE,5.4,2,NC State,ACC,2024
Jordan Shipp,recruit,WR,5.9,4,UNC,ACC,2024
Javarius Green,recruit,WR,5.7,3,UNC,ACC,2024
Alex Taylor,recruit,WR,5.8,4,UNC,ACC,2024
Davion Gause,recruit,RB,5.8,4,UNC,ACC,2024
Khalil Conley,recruit,ATH,5.5,3,UNC,ACC,2024
Michael Merdinger,recruit,QB,5.7,3,UNC,ACC,2024
Charleston French,recruit,RB,0.0,0,UNC,ACC,2024
Timothy Lawson,recruit,TE,5.5,3,UNC,ACC,2024
Ryan Ward,recruit,TE,5.5,3,UNC,ACC,2024
Tyreek Robinson,recruit,WR,5.5,3,Pitt,ACC,2024
Juelz Goff,recruit,RB,5.6,3,Pitt,ACC,2024
Cameron Monteiro,recruit,ATH,5.6,3,Pitt,ACC,2024
Davin Brewton,recruit,ATH,5.5,3,Pitt,ACC,2024
Julian Dugger,recruit,QB,5.6,3,Pitt,ACC,2024
Malachi Thomas,recruit,TE,5.5,3,Pitt,ACC,2024
Ja'Meer Thomas,recruit,WR,5.5,3,Syracuse,ACC,2024
Emanuel Ross,recruit,WR,5.8,4,Syracuse,ACC,2024
Ta'Ron Haile,recruit,WR,5.6,3,Syracuse,ACC,2024
Jaylan Hornsby,recruit,WR,5.7,3,Syracuse,ACC,2024
Jahide Lesaine Jr.,recruit,WR,5.4,2,Syracuse,ACC,2024
Yasin Willis,recruit,RB,5.8,4,Syracuse,ACC,2024
Jaden Hart,recruit,RB,5.6,3,Syracuse,ACC,2024
Malachi James,recruit,ATH,0.0,0,Syracuse,ACC,2024
Ibn McDaniels,recruit,ATH,5.5,3,Syracuse,ACC,2024
Davien Kerr,recruit,ATH,5.4,2,Syracuse,ACC,2024
Jakhari Williams,recruit,QB,5.6,3,Syracuse,ACC,2024
Fatim Diggs,recruit,TE,5.4,2,Syracuse,ACC,2024
Elijah Washington,recruit,TE,5.6,3,Syracuse,ACC,2024
Jamie Tremble,recruit,TE,5.8,4,Syracuse,ACC,2024
Triston Ward,recruit,WR,5.5,3,virginia,ACC,2024
Ethan Minter,recruit,QB,5.5,3,virginia,ACC,2024
John Rogers,recruit,TE,5.5,3,virginia,ACC,2024
Chanz Wiggins,recruit,WR,5.8,4,virginia,ACC,2024
Keylen Adams,recruit,WR,5.8,4,virginia,ACC,2024
Tyler Mason,recruit,RB,5.7,3,virginia,ACC,2024
Davi Belfort,recruit,QB,5.8,4,virginia,ACC,2024
Jeremiah Melvin,recruit,WR,5.4,2,Wake,ACC,2024
Ben Grice,recruit,WR,5.7,3,Wake,ACC,2024
Devin Cook,recruit,ATH,5.5,3,Wake,ACC,2024
Elijah Reid,recruit,ATH,5.4,2,Wake,ACC,2024
Jeremy Hecklinski,recruit,QB,5.7,3,Wake,ACC,2024
Ty Clark,recruit,RB,5.6,3,Wake,ACC,2024
Dominic DeLuca,recruit,TE,5.3,2,Wake,ACC,2024
Luca Puccinelli,recruit,TE,5.5,3,Wake,ACC,2024
Josiah Martin,recruit,WR,5.7,3,california,ACC,2024
Trevor Rogers,recruit,WR,5.6,3,california,ACC,2024
Jamaal Wiley,recruit,RB,5.6,3,california,ACC,2024
Dayton Aupiu,recruit,ATH,5.6,3,california,ACC,2024
EJ Caminong,recruit,QB,5.6,3,california,ACC,2024
Camden Jones,recruit,TE,5.6,3,california,ACC,2024
Chase Farrell,recruit,WR,5.5,3,stanford,ACC,2024
Emmett Mosley,recruit,WR,5.8,4,stanford,ACC,2024
Cole Tabb,recruit,RB,5.6,3,stanford,ACC,2024
Chris Davis Jr.,recruit,RB,5.8,4,stanford,ACC,2024
Micah Ford,recruit,RB,5.7,3,stanford,ACC,2024
Maxwell Richardson,recruit,ATH,5.7,3,stanford,ACC,2024
Elijah Brown,recruit,QB,5.8,4,stanford,ACC,2024
Aiden Black,recruit,TE,5.6,3,stanford,ACC,2024
Benjamin Blackburn,recruit,TE,5.8,4,stanford,ACC,2024
Jamyri Cauley,recruit,ATH,5.5,3,smu,ACC,2024
Jaylen Moses,recruit,ATH,5.2,2,smu,ACC,2024
Tyler Aronson,recruit,QB,5.8,4,smu,ACC,2024
Derrick McFall,recruit,RB,5.7,3,smu,ACC,2024
