name,class,pos,rate,star,school,conf,year
Patrick Ballard,recruit,WR,5.5,3,UNLV,MWC,2018
Chad Magyar,recruit,RB,5.5,3,UNLV,MWC,2018
Austin Ajiake,recruit,RB,5.3,2,UNLV,MWC,2018
Octavion Bell,recruit,ATH,5.3,2,UNLV,MWC,2018
Tyleek Collins,recruit,ATH,5.5,3,UNLV,MWC,2018
Kenyon Oblad,recruit,QB,5.5,3,UNLV,MWC,2018
Max Gilliam,recruit,QB,5.6,3,UNLV,MWC,2018
Shelton Zeon ,recruit,TE,5.3,2,UNLV,MWC,2018
Raghib Ismail,recruit,WR,0.0,0,wyoming,MWC,2018
De'Vaughn Brown,recruit,WR,5.2,2,wyoming,MWC,2018
Jalani Ellison,recruit,WR,5.2,2,wyoming,MWC,2018
Camron Donatlan,recruit,WR,5.2,2,wyoming,MWC,2018
Gunner Gentry,recruit,WR,5.2,2,wyoming,MWC,2018
Dauson Booker,recruit,RB,5.2,2,wyoming,MWC,2018
Miguel Fulgencio,recruit,RB,5.4,2,wyoming,MWC,2018
Charles Hicks,recruit,ATH,5.4,2,wyoming,MWC,2018
Reow Jackson,recruit,ATH,5.2,2,wyoming,MWC,2018
Jevon Bigelow,recruit,ATH,5.2,2,wyoming,MWC,2018
Sean  Chambers,recruit,QB,5.4,2,wyoming,MWC,2018
Jackson Marcotte,recruit,TE,5.4,2,wyoming,MWC,2018
