name,class,pos,rate,star,school,conf,year
Brandon White,recruit,WR,5.5,3,Baylor,BIG12,2019
Jaylen Ellis,recruit,WR,5.7,3,Baylor,BIG12,2019
Yusuf Terry,recruit,WR,5.6,3,Baylor,BIG12,2019
Qualan Jones,recruit,RB,5.8,4,Baylor,BIG12,2019
Peyton  Powell,recruit,ATH,5.8,4,Baylor,BIG12,2019
Jonah White,recruit,ATH,5.4,2,Baylor,BIG12,2019
Will Williams,recruit,ATH,5.5,3,Baylor,BIG12,2019
Logan  Compton,recruit,ATH,5.7,3,Baylor,BIG12,2019
Jacob Zeno,recruit,QB,5.8,4,Baylor,BIG12,2019
Garmon Randolph,recruit,TE,5.6,3,Baylor,BIG12,2019
Sam Snyder,recruit,TE,5.7,3,Baylor,BIG12,2019
Darren  Wilson,recruit,WR,5.5,3,Iowa,BIG12,2019
Darien Porter,recruit,WR,5.6,3,Iowa,BIG12,2019
D'Shayne James,recruit,WR,5.5,3,Iowa,BIG12,2019
Ezeriah Anderson,recruit,WR,5.4,2,Iowa,BIG12,2019
Breece Hall,recruit,RB,5.7,3,Iowa,BIG12,2019
Jirehl Brock,recruit,RB,5.8,4,Iowa,BIG12,2019
Leonard Glass,recruit,ATH,5.5,3,Iowa,BIG12,2019
Easton Dean,recruit,QB,5.5,3,Iowa,BIG12,2019
Skylar Loving-Black,recruit,TE,5.5,3,Iowa,BIG12,2019
Ezra Naylor,recruit,WR,5.5,3,Kansas,BIG12,2019
Andrew Parchment,recruit,WR,5.4,2,Kansas,BIG12,2019
Mason  Fairchild,recruit,ATH,5.3,2,Kansas,BIG12,2019
Jordan Medley,recruit,ATH,5.4,2,Kansas,BIG12,2019
Amauri Pesek-Hickson,recruit,ATH,5.5,3,Kansas,BIG12,2019
Valerian Agbaw,recruit,ATH,5.5,3,Kansas,BIG12,2019
Kenny Logan,recruit,ATH,5.6,3,Kansas,BIG12,2019
Velton Gardner,recruit,ATH,5.6,3,Kansas,BIG12,2019
Thomas MacVittie,recruit,QB,5.7,3,Kansas,BIG12,2019
Khalid Duke,recruit,WR,5.5,3,Kansas State,BIG12,2019
Keenan Garber,recruit,WR,5.6,3,Kansas State,BIG12,2019
Thomas Grayson,recruit,RB,5.5,3,Kansas State,BIG12,2019
