name,class,pos,rate,star,school,conf,year
John Hightower,recruit,WR,5.5,3,Boise,MWC,2018
Cameron Thomas,recruit,WR,5.5,3,Boise,MWC,2018
Khalil Shakir,recruit,WR,5.7,3,Boise,MWC,2018
Stefan Cobbs, Jr.,recruit,WR,5.6,3,Boise,MWC,2018
Billy Bowens,recruit,WR,5.4,2,Boise,MWC,2018
Andrew VanBuren,recruit,RB,5.6,3,Boise,MWC,2018
Danny Smith,recruit,RB,5.4,2,Boise,MWC,2018
Cole Ramseyer,recruit,ATH,5.5,3,Boise,MWC,2018
Riley Smith,recruit,QB,5.7,3,Boise,MWC,2018
Jaylon Henderson,recruit,QB,5.2,2,Boise,MWC,2018
Tyneil Hopper,recruit,TE,5.8,4,Boise,MWC,2018
Kevin Austin,recruit,WR,5.9,4,Notre Dame,IND,2018
Micah Jones,recruit,WR,5.8,4,Notre Dame,IND,2018
Lawrence Keys,recruit,WR,5.7,3,Notre Dame,IND,2018
Jahmir Smith,recruit,RB,5.7,3,Notre Dame,IND,2018
C'Bo Flemister,recruit,RB,5.5,3,Notre Dame,IND,2018
Braden Lenzy,recruit,ATH,5.8,4,Notre Dame,IND,2018
Tariq Bracy,recruit,ATH,5.7,3,Notre Dame,IND,2018
Phil Jurkovec,recruit,QB,5.9,4,Notre Dame,IND,2018
Tommy Tremble,recruit,TE,5.7,3,Notre Dame,IND,2018
George Takacs,recruit,TE,5.8,4,Notre Dame,IND,2018
