name,class,pos,rate,star,school,conf,year
Jalen Curry,recruit,WR,5.9,4,arizona,PAC12,2019
Chris Roland,recruit,WR,5.6,3,arizona,PAC12,2019
Tayvian Cunningham,recruit,WR,5.4,2,arizona,PAC12,2019
Jalen Johnson,recruit,WR,5.5,3,arizona,PAC12,2019
Michael Wiley,recruit,RB,5.5,3,arizona,PAC12,2019
Grant Gunnell,recruit,QB,5.7,3,arizona,PAC12,2019
Andre Johnson,recruit,WR,5.5,3,arizona,PAC12,2019
Ricky Pearsall,recruit,WR,5.5,3,arizona,PAC12,2019
Jordan Kerley,recruit,WR,5.5,3,arizona,PAC12,2019
Willie Harts,recruit,ATH,5.5,3,arizona,PAC12,2019
Elijah Juarez,recruit,ATH,5.4,2,arizona,PAC12,2019
Keon Markham,recruit,ATH,5.7,3,arizona,PAC12,2019
Ethan Long,recruit,QB,5.5,3,arizona,PAC12,2019
Joey Yellen,recruit,QB,5.7,3,arizona,PAC12,2019
Jayden Daniels,recruit,QB,5.9,4,arizona,PAC12,2019
Nolan Matthews,recruit,TE,5.6,3,arizona,PAC12,2019
Jawaun Johnson,recruit,WR,5.4,2,california,PAC12,2019
Trevon Clark,recruit,WR,5.5,3,california,PAC12,2019
DeCarlos Brooks,recruit,RB,5.7,3,california,PAC12,2019
Makai Polk,recruit,ATH,5.5,3,california,PAC12,2019
Spencer Brasch,recruit,QB,5.7,3,california,PAC12,2019
Deshawn Collins,recruit,RB,5.3,2,california,PAC12,2019
Elijah Mojarro,recruit,TE,5.5,3,california,PAC12,2019
Braedin Huffman-Dixon,recruit,WR,5.7,3,colorado,PAC12,2019
La'Vontae Shenault,recruit,WR,5.8,4,colorado,PAC12,2019
Jaren Mangham,recruit,RB,5.8,4,colorado,PAC12,2019
Daniel Oats,recruit,RB,5.4,2,colorado,PAC12,2019
Joshia Davis,recruit,RB,5.5,3,colorado,PAC12,2019
Trustin Oliver,recruit,ATH,5.5,3,colorado,PAC12,2019
Tarik Luckett,recruit,ATH,5.5,3,colorado,PAC12,2019
Alec Pell,recruit,ATH,5.5,3,colorado,PAC12,2019
Luke  Stillwell,recruit,TE,0.0,0,colorado,PAC12,2019
Josh Delgado,recruit,WR,5.8,4,oregon,PAC12,2019
Mycah Pittman,recruit,WR,5.9,4,oregon,PAC12,2019
Jaron Waters,recruit,WR,5.6,3,oregon,PAC12,2019
Lance Wilhoite,recruit,WR,6.0,4,oregon,PAC12,2019
Jayvaun Wilson,recruit,ATH,5.7,3,oregon,PAC12,2019
Cale Millen,recruit,QB,5.7,3,oregon,PAC12,2019
Sean Dollars,recruit,RB,5.9,4,oregon,PAC12,2019
Patrick Herbert,recruit,TE,5.8,4,oregon,PAC12,2019
Anthony Gould,recruit,WR,5.4,2,oregon state,PAC12,2019
Taron Madison,recruit,RB,5.7,3,oregon state,PAC12,2019
Jojo Forest,recruit,ATH,5.5,3,oregon state,PAC12,2019
Luke Musgrave,recruit,TE,5.6,3,oregon state,PAC12,2019
Elijah  Higgins,recruit,WR,5.9,4,stanford,PAC12,2019
Colby Bowman,recruit,WR,5.7,3,stanford,PAC12,2019
Austin Jones,recruit,RB,5.9,4,stanford,PAC12,2019
Kyu Kelly,recruit,ATH,5.6,3,stanford,PAC12,2019
Marcus Graham,recruit,ATH,5.4,2,stanford,PAC12,2019
Nathaniel Peat,recruit,RB,5.6,3,stanford,PAC12,2019
Bradley Archer,recruit,TE,5.7,3,stanford,PAC12,2019
Kain Medrano,recruit,WR,5.5,3,UCLA,PAC12,2019
Charles Njoku,recruit,WR,5.8,4,UCLA,PAC12,2019
Jaylen Erwin,recruit,WR,5.4,2,UCLA,PAC12,2019
Jahmon McClendon,recruit,RB,5.5,3,UCLA,PAC12,2019
Sitiveni Kaufusi,recruit,RB,5.4,2,UCLA,PAC12,2019
John Ward,recruit,ATH,5.7,3,UCLA,PAC12,2019
Hayden Harris,recruit,ATH,5.4,2,UCLA,PAC12,2019
Christian Grubb,recruit,ATH,5.4,2,UCLA,PAC12,2019
Jack Landherr,recruit,ATH,5.4,2,UCLA,PAC12,2019
Chase Griffin,recruit,QB,5.5,3,UCLA,PAC12,2019
Mike Martinez,recruit,TE,5.8,4,UCLA,PAC12,2019
Josh Harris,recruit,TE,5.4,2,UCLA,PAC12,2019
Kyle Ford,recruit,WR,6.0,4,USC,PAC12,2019
Drake London,recruit,WR,5.8,4,USC,PAC12,2019
Munir McClain,recruit,WR,5.7,3,USC,PAC12,2019
Kenan Christon,recruit,ATH,5.7,3,USC,PAC12,2019
Kedon Slovis,recruit,QB,5.7,3,USC,PAC12,2019
Ethan Rae,recruit,TE,5.8,4,USC,PAC12,2019
Jude Wolfe,recruit,TE,5.8,4,USC,PAC12,2019
Darren Jones,recruit,WR,5.9,4,utah,PAC12,2019
Donte Banton,recruit,WR,5.7,3,utah,PAC12,2019
Sione Vaki,recruit,WR,5.6,3,utah,PAC12,2019
Jordan Wilmore,recruit,RB,5.7,3,utah,PAC12,2019
Micah Bernard,recruit,RB,5.5,3,utah,PAC12,2019
Lacarea Pleasant-Johnson,recruit,ATH,5.6,3,utah,PAC12,2019
Taj Davis,recruit,WR,5.7,3,washington,PAC12,2019
Puka Nacua,recruit,WR,5.9,4,washington,PAC12,2019
Cameron Davis,recruit,RB,5.8,4,washington,PAC12,2019
Trent McDuffie,recruit,ATH,5.8,4,washington,PAC12,2019
Kamren Fabiculanan,recruit,ATH,5.8,4,washington,PAC12,2019
Asa Turner,recruit,ATH,5.8,4,washington,PAC12,2019
Dylan Morris,recruit,QB,5.8,4,washington,PAC12,2019
Donovan Ollie,recruit,WR,5.6,3,washington,PAC12,2019
Billy Pospisil,recruit,WR,5.6,3,washington,PAC12,2019
Deon McIntosh,recruit,RB,0.0,0,washington,PAC12,2019
Jouvensly Bazile,recruit,RB,5.5,3,washington,PAC12,2019
Jamir Thomas,recruit,ATH,5.6,3,washington,PAC12,2019
Gunner Cruz,recruit,QB,5.5,3,washington,PAC12,2019
Simon Samarzich,recruit,TE,5.4,2,washington,PAC12,2019
