name,class,pos,rate,star,school,conf,year
Anthony Ivey,recruit,WR,5.8,4,Penn,BIG10,2022
Tyler Johnson,recruit,WR,5.6,3,Penn,BIG10,2022
Kaden Saunders,recruit,WR,5.9,4,Penn,BIG10,2022
Kaytron Allen,recruit,RB,5.9,4,Penn,BIG10,2022
Nicholas Singleton,recruit,RB,6.0,4,Penn,BIG10,2022
Mehki Flowers,recruit,ATH,5.9,4,Penn,BIG10,2022
Camron Miller,recruit,ATH,5.7,3,Penn,BIG10,2022
Omari Evans,recruit,ATH,5.6,3,Penn,BIG10,2022
Cristian Driver,recruit,ATH,5.8,4,Penn,BIG10,2022
Drew Allar,recruit,QB,5.9,4,Penn,BIG10,2022
Beau Pribula,recruit,QB,5.7,3,Penn,BIG10,2022
Jerry Cross,recruit,TE,5.8,4,Penn,BIG10,2022
Shawn Miller,recruit,WR,5.6,3,Illinois,BIG10,2022
Hank Beatty,recruit,WR,5.4,2,Illinois,BIG10,2022
Tyson Rooks,recruit,WR,5.5,3,Illinois,BIG10,2022
Eian Pugh,recruit,WR,5.7,3,Illinois,BIG10,2022
TJ Griffin,recruit,ATH,5.4,2,Illinois,BIG10,2022
Jordan  Anderson,recruit,ATH,5.6,3,Illinois,BIG10,2022
Xavier Scott,recruit,ATH,5.5,3,Illinois,BIG10,2022
Matthew Bailey,recruit,ATH,5.4,2,Illinois,BIG10,2022
Ashton Hollins,recruit,ATH,5.5,3,Illinois,BIG10,2022
Aidan Laughery,recruit,ATH,5.6,3,Illinois,BIG10,2022
Donovan Leary,recruit,QB,5.5,3,Illinois,BIG10,2022
Naivyan	 Cargill,recruit,TE,5.5,3,Illinois,BIG10,2022
Owen Anderson,recruit,TE,5.5,3,Illinois,BIG10,2022
Henry Boyer,recruit,TE,5.5,3,Illinois,BIG10,2022
Kamryn Perry,recruit,WR,5.5,3,Indiana,BIG10,2022
Cameron Camper,recruit,WR,5.8,4,Indiana,BIG10,2022
Omar Cooper Jr.,recruit,WR,5.9,4,Indiana,BIG10,2022
Phillip Dunnam,recruit,ATH,5.5,3,Indiana,BIG10,2022
Brendan Sorsby,recruit,QB,5.6,3,Indiana,BIG10,2022
Jaylin Lucas,recruit,RB,5.7,3,Indiana,BIG10,2022
Brody Foley,recruit,TE,5.7,3,Indiana,BIG10,2022
Ryan Miller,recruit,TE,5.7,3,Indiana,BIG10,2022
Jacob  Bostick,recruit,WR,5.7,3,Iowa,BIG10,2022
Jaziun Patterson,recruit,RB,5.7,3,Iowa,BIG10,2022
Kaleb Johnson,recruit,RB,5.8,4,Iowa,BIG10,2022
Landyn Van Kekerix,recruit,ATH,5.4,2,Iowa,BIG10,2022
Koen Entringer,recruit,ATH,5.7,3,Iowa,BIG10,2022
Carson May,recruit,QB,5.8,4,Iowa,BIG10,2022
Addison Ostrenga,recruit,TE,5.5,3,Iowa,BIG10,2022
Cael Vanderbush,recruit,TE,5.6,3,Iowa,BIG10,2022
Leon Haughton,recruit,WR,5.6,3,Maryland,BIG10,2022
Shaleak Knotts,recruit,WR,5.7,3,Maryland,BIG10,2022
Perry Fisher,recruit,WR,5.5,3,Maryland,BIG10,2022
Ramon Brown,recruit,RB,5.7,3,Maryland,BIG10,2022
Lavain Scruggs,recruit,ATH,5.5,3,Maryland,BIG10,2022
Lionell Whitaker,recruit,ATH,5.6,3,Maryland,BIG10,2022
Octavian Smith,recruit,ATH,5.8,4,Maryland,BIG10,2022
Preston Howard,recruit,ATH,5.6,3,Maryland,BIG10,2022
John Griffith,recruit,QB,5.5,3,Maryland,BIG10,2022
Cameron Edge,recruit,QB,5.8,4,Maryland,BIG10,2022
Jayden	 Sauray,recruit,QB,5.6,3,Maryland,BIG10,2022
Tyler Morris,recruit,WR,5.9,4,Michigan,BIG10,2022
Darrius Clemons,recruit,WR,5.9,4,Michigan,BIG10,2022
CJ  Stokes,recruit,RB,5.6,3,Michigan,BIG10,2022
Amorion Walker,recruit,ATH,5.7,3,Michigan,BIG10,2022
Jayden Denegal,recruit,QB,5.7,3,Michigan,BIG10,2022
Alex Orji,recruit,QB,5.7,3,Michigan,BIG10,2022
Marlin Klein,recruit,TE,5.7,3,Michigan,BIG10,2022
Colston Loveland,recruit,TE,5.8,4,Michigan,BIG10,2022
Jaron Glover,recruit,WR,5.5,3,Michigan,BIG10,2022
Tyrell Henry,recruit,WR,5.6,3,Michigan,BIG10,2022
Antonio Gates Jr.,recruit,WR,5.7,3,Michigan,BIG10,2022
Germie Bernard,recruit,WR,5.8,4,Michigan,BIG10,2022
Jaden Mangham,recruit,ATH,5.8,4,Michigan,BIG10,2022
Katin Houser,recruit,QB,5.9,4,Michigan,BIG10,2022
Michael Masunas,recruit,TE,5.6,3,Michigan,BIG10,2022
Jack Nickel,recruit,TE,5.7,3,Michigan,BIG10,2022
Kristen Hoskins,recruit,WR,5.5,3,Minnesota,BIG10,2022
Aidan Gousby,recruit,WR,5.5,3,Minnesota,BIG10,2022
Ike  White,recruit,WR,5.6,3,Minnesota,BIG10,2022
Rhyland Kelly,recruit,ATH,5.5,3,Minnesota,BIG10,2022
Jacob Knuth,recruit,QB,5.6,3,Minnesota,BIG10,2022
Zach Evans,recruit,RB,5.7,3,Minnesota,BIG10,2022
Nathan Jones,recruit,TE,5.4,2,Minnesota,BIG10,2022
Spencer Alvarez,recruit,TE,5.3,2,Minnesota,BIG10,2022
Victor Jones,recruit,WR,5.7,3,Nebraska,BIG10,2022
Janiran Bonner,recruit,WR,5.8,4,Nebraska,BIG10,2022
Decoldest Crawford,recruit,WR,5.7,3,Nebraska,BIG10,2022
Emmett Johnson,recruit,RB,5.6,3,Nebraska,BIG10,2022
Ajay Allen Jr,recruit,RB,5.7,3,Nebraska,BIG10,2022
Gage Stenger,recruit,ATH,5.5,3,Nebraska,BIG10,2022
Richard Torres,recruit,QB,5.5,3,Nebraska,BIG10,2022
Anthony Grant,recruit,RB,5.8,4,Nebraska,BIG10,2022
Chase Androff,recruit,TE,5.6,3,Nebraska,BIG10,2022
Reggie Fleurima,recruit,WR,5.8,4,Northwestern,BIG10,2022
Evan Smith,recruit,ATH,5.5,3,Northwestern,BIG10,2022
Kenny Soares,recruit,ATH,5.7,3,Northwestern,BIG10,2022
Jack  Lausch,recruit,QB,5.2,2,Northwestern,BIG10,2022
Joseph Himon,recruit,RB,5.6,3,Northwestern,BIG10,2022
Chris Petrucci,recruit,TE,5.6,3,Northwestern,BIG10,2022
Kyion Grayes,recruit,WR,5.9,4,Ohio State,BIG10,2022
Kojo Antwi,recruit,WR,5.8,4,Ohio State,BIG10,2022
Kaleb Brown,recruit,WR,5.9,4,Ohio State,BIG10,2022
Caleb Burton,recruit,WR,5.8,4,Ohio State,BIG10,2022
Dallan Hayden,recruit,RB,5.8,4,Ohio State,BIG10,2022
Alex Styles,recruit,ATH,6.1,5,Ohio State,BIG10,2022
Devin Brown,recruit,QB,6.0,4,Ohio State,BIG10,2022
Bennett Christian,recruit,TE,5.7,3,Ohio State,BIG10,2022
Zion Steptoe,recruit,WR,5.5,3,Purdue,BIG10,2022
Curtis Deville ,recruit,WR,5.7,3,Purdue,BIG10,2022
Kentrell Marks,recruit,RB,5.7,3,Purdue,BIG10,2022
Terence Thomas,recruit,ATH,5.5,3,Purdue,BIG10,2022
Brady Allen,recruit,QB,5.9,4,Purdue,BIG10,2022
Charlie Kenrich,recruit,TE,5.6,3,Purdue,BIG10,2022
Max Klare,recruit,TE,5.5,3,Purdue,BIG10,2022
Fitzroy	 Ledgister,recruit,WR,0.0,0,Rutgers,BIG10,2022
Amarion Brown,recruit,WR,5.8,4,Rutgers,BIG10,2022
Dariel Djabome,recruit,ATH,5.4,2,Rutgers,BIG10,2022
