name,class,pos,rate,star,school,conf,year
Jordan Nabors,recruit,WR,5.6,3,Baylor,BIG12,2022
Armani Winfield,recruit,WR,5.8,4,Baylor,BIG12,2022
Richard Reese,recruit,RB,5.6,3,Baylor,BIG12,2022
Reggie Bush,recruit,RB,5.6,3,Baylor,BIG12,2022
Kaian Roberts-Day,recruit,ATH,5.7,3,Baylor,BIG12,2022
Jeremy Evans,recruit,ATH,5.6,3,Baylor,BIG12,2022
Kelsey Johnson,recruit,TE,5.7,3,Baylor,BIG12,2022
Cody	 Mladenka,recruit,TE,5.5,3,Baylor,BIG12,2022
Gregory Gaines III,recruit,WR,5.8,4,Iowa,BIG12,2022
Jontez	 Williams,recruit,WR,5.5,3,Iowa,BIG12,2022
Jason Essex,recruit,WR,5.7,3,Iowa,BIG12,2022
Cartevious Norton,recruit,RB,5.6,3,Iowa,BIG12,2022
Rocco Becht,recruit,QB,5.8,4,Iowa,BIG12,2022
Quaron Adams,recruit,RB,5.6,3,Iowa,BIG12,2022
Gabe Burkle,recruit,TE,5.5,3,Iowa,BIG12,2022
Andrew Keller,recruit,TE,5.7,3,Iowa,BIG12,2022
Ethan Vasko,recruit,QB,5.4,2,Kansas,BIG12,2022
Tevita Noa,recruit,TE,5.4,2,Kansas,BIG12,2022
Sterling Lockett,recruit,WR,5.4,2,Kansas State,BIG12,2022
Jordan  Perry,recruit,ATH,5.5,3,Kansas State,BIG12,2022
Tyson Struber,recruit,ATH,5.5,3,Kansas State,BIG12,2022
Silas Etter,recruit,ATH,5.6,3,Kansas State,BIG12,2022
Adryan Lara,recruit,QB,5.7,3,Kansas State,BIG12,2022
Anthony Frias,recruit,RB,5.6,3,Kansas State,BIG12,2022
Garrett Oakley,recruit,TE,5.3,2,Kansas State,BIG12,2022
Brayden Loftin,recruit,TE,5.5,3,Kansas State,BIG12,2022
Nicholas	 Anderson,recruit,WR,5.7,3,Oklahoma,BIG12,2022
Jayden Gibson,recruit,WR,6.0,4,Oklahoma,BIG12,2022
Gavin Sawchuk,recruit,RB,5.9,4,Oklahoma,BIG12,2022
Jovantae Barnes,recruit,RB,5.9,4,Oklahoma,BIG12,2022
Gentry Williams,recruit,ATH,5.9,4,Oklahoma,BIG12,2022
General Booty,recruit,QB,0.0,0,Oklahoma,BIG12,2022
Nick Evers,recruit,QB,5.8,4,Oklahoma,BIG12,2022
Kaden  Helms,recruit,TE,5.8,4,Oklahoma,BIG12,2022
Jason Llewellyn,recruit,TE,5.8,4,Oklahoma,BIG12,2022
Stephon Johnson,recruit,WR,5.7,3,Oklahoma State,BIG12,2022
Mason Gilkey,recruit,WR,5.8,4,Oklahoma State,BIG12,2022
Talyn Shettron,recruit,WR,5.9,4,Oklahoma State,BIG12,2022
Ollie Gordon,recruit,RB,5.9,4,Oklahoma State,BIG12,2022
CJ Brown,recruit,RB,5.8,4,Oklahoma State,BIG12,2022
Landon Dean,recruit,ATH,5.7,3,Oklahoma State,BIG12,2022
Garret Rangel,recruit,QB,5.7,3,Oklahoma State,BIG12,2022
Braylin	 Presley,recruit,RB,5.7,3,Oklahoma State,BIG12,2022
Tabry Shettron,recruit,TE,5.4,2,Oklahoma State,BIG12,2022
DJ Allen,recruit,WR,5.7,3,TCU,BIG12,2022
Jordan Hudson,recruit,WR,5.9,4,TCU,BIG12,2022
Josh Hoover,recruit,QB,5.6,3,TCU,BIG12,2022
Major Everhart,recruit,RB,5.6,3,TCU,BIG12,2022
Savion Red,recruit,WR,5.5,3,Texas,BIG12,2022
Brenen Thompson,recruit,WR,5.9,4,Texas,BIG12,2022
Jaydon Blue,recruit,RB,5.8,4,Texas,BIG12,2022
Xavion Brice,recruit,ATH,5.6,3,Texas,BIG12,2022
Maalik Murphy,recruit,QB,5.9,4,Texas,BIG12,2022
Coy Eakin,recruit,WR,5.6,3,Texas Tech,BIG12,2022
Tyler	 King,recruit,WR,5.6,3,Texas Tech,BIG12,2022
Bryson Donnell,recruit,RB,5.7,3,Texas Tech,BIG12,2022
Hut Graham,recruit,ATH,5.5,3,Texas Tech,BIG12,2022
Maurion Horn,recruit,ATH,5.8,4,Texas Tech,BIG12,2022
Cortez Braham,recruit,WR,5.4,2,West Virginia,BIG12,2022
Jeremiah Aaron,recruit,WR,5.7,3,West Virginia,BIG12,2022
Jarel Williams,recruit,WR,5.6,3,West Virginia,BIG12,2022
Tyrin Woodby,recruit,ATH,5.5,3,West Virginia,BIG12,2022
William Dixon,recruit,ATH,0.0,0,West Virginia,BIG12,2022
Nicco Marchiol,recruit,QB,5.8,4,West Virginia,BIG12,2022
De'Carlo Donaldson,recruit,TE,5.6,3,West Virginia,BIG12,2022
Corbin  Page,recruit,TE,5.7,3,West Virginia,BIG12,2022
