name,class,pos,rate,star,school,conf,year
Braden Collins,recruit,WR,5.4,2,appalachianstate,MAC,2018
Richard Tucker,recruit,WR,5.3,2,appalachianstate,MAC,2018
Camerun Peoples,recruit,RB,5.2,2,appalachianstate,MAC,2018
Stephon Brown,recruit,QB,5.2,2,appalachianstate,MAC,2018
Trey Ross,recruit,TE,5.4,2,appalachianstate,MAC,2018
Henry Pearson,recruit,TE,5.4,2,appalachianstate,MAC,2018
Luke Burnette,recruit,TE,5.2,2,appalachianstate,MAC,2018
Kirk Merritt,recruit,WR,5.7,3,arkansasstate,MAC,2018
Arther Green,recruit,WR,5.4,2,arkansasstate,MAC,2018
Nathan Page,recruit,WR,5.7,3,arkansasstate,MAC,2018
Marcel Murray,recruit,RB,5.4,2,arkansasstate,MAC,2018
Donovan Marshall,recruit,RB,5.4,2,arkansasstate,MAC,2018
Trey Green,recruit,RB,5.5,3,arkansasstate,MAC,2018
Ross Painter,recruit,TE,5.4,2,arkansasstate,MAC,2018
Reed Tyler,recruit,TE,5.4,2,arkansasstate,MAC,2018
Tyrone Scott,recruit,WR,5.4,2,centralmichigan,MAC,2018
Keonta Nixon,recruit,WR,5.2,2,centralmichigan,MAC,2018
Jonathan Clark,recruit,RB,5.2,2,centralmichigan,MAC,2018
Braeden Childress,recruit,ATH,5.2,2,centralmichigan,MAC,2018
George Pearson,recruit,QB,5.4,2,centralmichigan,MAC,2018
Joel Wilson,recruit,TE,5.2,2,centralmichigan,MAC,2018
Lon'Kevious McFadden,recruit,WR,5.2,2,kentstate,MAC,2018
Montre Miller,recruit,WR,5.3,2,kentstate,MAC,2018
Javaughn Williams,recruit,WR,5.3,2,kentstate,MAC,2018
Isaiah McKoy,recruit,WR,5.4,2,kentstate,MAC,2018
Mark Williams,recruit,ATH,5.2,2,kentstate,MAC,2018
Jeremiah Salaam,recruit,ATH,5.5,3,kentstate,MAC,2018
Craig Elmore,recruit,ATH,5.2,2,kentstate,MAC,2018
Woody Barrett,recruit,QB,5.6,3,kentstate,MAC,2018
Marquez Glover,recruit,QB,5.2,2,kentstate,MAC,2018
Jo-El Shaw,recruit,RB,5.3,2,kentstate,MAC,2018
Daniel Johnson,recruit,TE,5.2,2,kentstate,MAC,2018
Caleb Mills,recruit,WR,5.2,2,newmexicostate,MAC,2018
Naveon Mitchell,recruit,RB,5.2,2,newmexicostate,MAC,2018
Matthew Romero,recruit,QB,5.5,3,newmexicostate,MAC,2018
Grant Mileski,recruit,TE,5.4,2,newmexicostate,MAC,2018
T.J. Graham,recruit,WR,5.5,3,texasstate,MAC,2018
Blake Aragon,recruit,WR,5.5,3,texasstate,MAC,2018
Jacoby Hopkins,recruit,WR,5.5,3,texasstate,MAC,2018
Jah'marae Sheread,recruit,WR,5.4,2,texasstate,MAC,2018
Tyrese Heard,recruit,ATH,5.5,3,texasstate,MAC,2018
Tyler Vitt,recruit,QB,5.5,3,texasstate,MAC,2018
Seth Caillouet,recruit,TE,5.2,2,texasstate,MAC,2018
Jackson Lanam,recruit,TE,5.4,2,texasstate,MAC,2018
Cameron Childress,recruit,WR,5.2,2,toledo,MAC,2018
Jalynn Williams,recruit,WR,5.7,3,toledo,MAC,2018
Devin Maddox,recruit,WR,5.3,2,toledo,MAC,2018
Jalin Cooper,recruit,WR,5.5,3,toledo,MAC,2018
Nate Bauer,recruit,ATH,5.5,3,toledo,MAC,2018
Carter Bradley,recruit,QB,5.6,3,toledo,MAC,2018
Cross Wilkinson,recruit,QB,5.3,2,toledo,MAC,2018
Alex Morgan,recruit,TE,5.4,2,toledo,MAC,2018
Demontrez Brown,recruit,WR,5.2,2,troy,MAC,2018
Kevin Perkins,recruit,RB,5.4,2,troy,MAC,2018
Gunnar Watson,recruit,QB,5.6,3,troy,MAC,2018
Anthony Lewis, Jr.,recruit,TE,5.5,3,troy,MAC,2018
Jahquan Bloomfield,recruit,WR,5.4,2,ulm,MAC,2018
Malik Jackson,recruit,WR,5.6,3,ulm,MAC,2018
Josh Newton,recruit,WR,5.3,2,ulm,MAC,2018
Isaiah Phillips,recruit,RB,5.2,2,ulm,MAC,2018
Brennen Wooten,recruit,QB,5.3,2,ulm,MAC,2018
Colby Suits,recruit,QB,5.4,2,ulm,MAC,2018
DaShon Bussell,recruit,WR,5.6,3,westernmichigan,MAC,2018
Chase Brown,recruit,RB,5.4,2,westernmichigan,MAC,2018
Jayden Reed,recruit,ATH,5.4,2,westernmichigan,MAC,2018
Wyatt Rector,recruit,QB,5.5,3,westernmichigan,MAC,2018
Kaleb Eleby,recruit,QB,5.7,3,westernmichigan,MAC,2018
Anthony Torres,recruit,TE,5.5,3,westernmichigan,MAC,2018
Lee Payton,recruit,TE,5.4,2,westernmichigan,MAC,2018
