name,class,pos,rate,star,school,conf,year
Stevie	 Rocker Jr.,recruit,RB,5.6,3,arizona,PAC12,2021
Logan Kraut,recruit,ATH,5.4,2,arizona,PAC12,2021
Anthony Simpson Jr.,recruit,ATH,5.2,2,arizona,PAC12,2021
Carson Cota,recruit,ATH,5.6,3,arizona,PAC12,2021
Colby Powers,recruit,TE,5.6,3,arizona,PAC12,2021
Lonyatta Alexander,recruit,WR,5.8,4,arizona,PAC12,2021
Tommi  Hill,recruit,ATH,5.8,4,arizona,PAC12,2021
Eric Gentry,recruit,ATH,5.5,3,arizona,PAC12,2021
Finn Collins,recruit,QB,5.6,3,arizona,PAC12,2021
J. Michael Sturdivant,recruit,WR,5.8,4,california,PAC12,2021
Mavin Anderson,recruit,WR,5.6,3,california,PAC12,2021
Patrick Hisatake,recruit,ATH,5.5,3,california,PAC12,2021
Kai Millner,recruit,QB,5.6,3,california,PAC12,2021
Keleki Latu,recruit,TE,5.6,3,california,PAC12,2021
Jermaine Terry,recruit,TE,5.8,4,california,PAC12,2021
Nikko Reed,recruit,WR,5.4,2,colorado,PAC12,2021
Ty Robinson,recruit,WR,5.5,3,colorado,PAC12,2021
Chase Penry,recruit,WR,5.7,3,colorado,PAC12,2021
Kaylin Moore,recruit,ATH,5.5,3,colorado,PAC12,2021
Drew Carter,recruit,QB,5.5,3,colorado,PAC12,2021
Austin Smith,recruit,TE,5.3,2,colorado,PAC12,2021
Erik Olsen,recruit,TE,5.8,4,colorado,PAC12,2021
Troy Franklin,recruit,WR,6.0,4,oregon,PAC12,2021
Isaiah  Brevard,recruit,WR,5.8,4,oregon,PAC12,2021
Dont'e Thornton Jr.,recruit,WR,6.0,4,oregon,PAC12,2021
Byron Cardwell,recruit,RB,5.8,4,oregon,PAC12,2021
Seven McGee,recruit,ATH,5.9,4,oregon,PAC12,2021
Darren	 Barkins,recruit,ATH,5.6,3,oregon,PAC12,2021
Ty Thompson,recruit,QB,6.1,5,oregon,PAC12,2021
Terrance Ferguson,recruit,TE,5.9,4,oregon,PAC12,2021
Moliki Matavao,recruit,TE,5.9,4,oregon,PAC12,2021
Jimmy Valsin,recruit,WR,5.5,3,oregon state,PAC12,2021
Damir Collins,recruit,RB,5.7,3,oregon state,PAC12,2021
Arnez	 Madison,recruit,ATH,5.5,3,oregon state,PAC12,2021
Sam Vidlak,recruit,QB,5.6,3,oregon state,PAC12,2021
Jake Blair,recruit,QB,5.4,2,oregon state,PAC12,2021
Gabe Milbourn,recruit,TE,0.0,0,oregon state,PAC12,2021
J.T. Byrne,recruit,TE,5.4,2,oregon state,PAC12,2021
Jayson Raines,recruit,WR,5.5,3,stanford,PAC12,2021
Brendon Barrow,recruit,RB,5.4,2,stanford,PAC12,2021
Ari Patu,recruit,QB,5.7,3,stanford,PAC12,2021
Shield Taylor,recruit,TE,5.7,3,stanford,PAC12,2021
Keontez Lewis,recruit,WR,5.7,3,UCLA,PAC12,2021
DJ Justice,recruit,WR,5.7,3,UCLA,PAC12,2021
Ezavier Staples,recruit,WR,5.6,3,UCLA,PAC12,2021
Deshun Murrell,recruit,RB,5.7,3,UCLA,PAC12,2021
Isaiah Newcombe,recruit,ATH,5.6,3,UCLA,PAC12,2021
Kajiya Hollawayne,recruit,QB,5.6,3,UCLA,PAC12,2021
Kyron Ware-Hudson,recruit,WR,5.9,4,USC,PAC12,2021
Michael Jackson,recruit,WR,5.8,4,USC,PAC12,2021
Joseph Manjack,recruit,WR,5.5,3,USC,PAC12,2021
Brandon Campbell,recruit,RB,5.8,4,USC,PAC12,2021
Jaylin	 Smith,recruit,ATH,5.8,4,USC,PAC12,2021
Miller Moss,recruit,QB,5.9,4,USC,PAC12,2021
Jaxson Dart,recruit,QB,5.9,4,USC,PAC12,2021
Michael Trigg,recruit,TE,5.9,4,USC,PAC12,2021
Lake McRee,recruit,TE,5.7,3,USC,PAC12,2021
Bryson Reeves,recruit,WR,5.5,3,utah,PAC12,2021
Makai Cope,recruit,WR,5.7,3,utah,PAC12,2021
Ricky Parks,recruit,RB,5.8,4,utah,PAC12,2021
Peter Costelli,recruit,QB,5.8,4,utah,PAC12,2021
Tavion Thomas,recruit,RB,5.7,3,utah,PAC12,2021
Isaac Vaha,recruit,TE,5.7,3,utah,PAC12,2021
Jabez Tinae,recruit,WR,5.6,3,washington,PAC12,2021
Caleb Berry,recruit,RB,5.5,3,washington,PAC12,2021
Sam Huard,recruit,QB,6.1,5,washington,PAC12,2021
Caden Jumper,recruit,TE,5.5,3,washington,PAC12,2021
Quentin Moore,recruit,TE,5.8,4,washington,PAC12,2021
C.J. Moore,recruit,WR,5.8,4,washington,PAC12,2021
Tsion Nunnally,recruit,WR,5.5,3,washington,PAC12,2021
De'zhaun Stribling,recruit,WR,5.4,2,washington,PAC12,2021
Orion Peters,recruit,WR,5.5,3,washington,PAC12,2021
Xavier Ward,recruit,QB,5.7,3,washington,PAC12,2021
