name,class,pos,rate,star,school,conf,year
Harrison Wallace,recruit,WR,5.7,3,Penn,BIG10,2021
Lonnie White Jr.,recruit,WR,5.8,4,Penn,BIG10,2021
Liam  Clifford,recruit,WR,5.6,3,Penn,BIG10,2021
Christian Veilleux,recruit,QB,5.7,3,Penn,BIG10,2021
Khalil Dinkins,recruit,TE,5.5,3,Penn,BIG10,2021
Kionte Curry,recruit,WR,5.5,3,Illinois,BIG10,2021
Prince Green,recruit,WR,5.5,3,Illinois,BIG10,2021
Pat Bryant,recruit,WR,5.5,3,Illinois,BIG10,2021
Joshua McCray,recruit,RB,5.6,3,Illinois,BIG10,2021
Samari  Collier,recruit,QB,5.6,3,Illinois,BIG10,2021
Malachi Bennett,recruit,WR,5.7,3,Indiana,BIG10,2021
Jaquez Smith,recruit,WR,5.7,3,Indiana,BIG10,2021
Jordyn Williams,recruit,WR,5.6,3,Indiana,BIG10,2021
Trenten Howland,recruit,RB,5.5,3,Indiana,BIG10,2021
David Holloman,recruit,RB,5.6,3,Indiana,BIG10,2021
Maurice Freeman,recruit,ATH,5.5,3,Indiana,BIG10,2021
Donaven McCulley,recruit,QB,5.9,4,Indiana,BIG10,2021
Aaron Steinfeldt,recruit,TE,5.6,3,Indiana,BIG10,2021
Keagan Johnson,recruit,WR,5.8,4,Iowa,BIG10,2021
Brody Brecht,recruit,WR,5.7,3,Iowa,BIG10,2021
Deavin Hilson,recruit,ATH,5.4,2,Iowa,BIG10,2021
Zach Twedt,recruit,ATH,5.6,3,Iowa,BIG10,2021
Cooper DeJean,recruit,ATH,5.7,3,Iowa,BIG10,2021
Arland Bruce,recruit,ATH,5.8,4,Iowa,BIG10,2021
Joey Labas,recruit,QB,5.6,3,Iowa,BIG10,2021
Tai Felton,recruit,WR,5.5,3,Maryland,BIG10,2021
Antwain Littleton,recruit,RB,5.5,3,Maryland,BIG10,2021
Colby McDonald,recruit,RB,5.5,3,Maryland,BIG10,2021
Roman Hemby,recruit,ATH,5.4,2,Maryland,BIG10,2021
Leron Husbands,recruit,TE,5.5,3,Maryland,BIG10,2021
Weston Wolff,recruit,TE,5.6,3,Maryland,BIG10,2021
Joe Bearns,recruit,TE,5.4,2,Maryland,BIG10,2021
CJ Dippre,recruit,TE,5.6,3,Maryland,BIG10,2021
Cristian Dixon,recruit,WR,5.8,4,Michigan,BIG10,2021
Andrel Anthony,recruit,WR,5.7,3,Michigan,BIG10,2021
Donovan Edwards,recruit,RB,6.0,4,Michigan,BIG10,2021
Tavierre Dunlap,recruit,RB,5.7,3,Michigan,BIG10,2021
J.J. McCarthy,recruit,QB,6.0,4,Michigan,BIG10,2021
Louis Hansen,recruit,TE,5.9,4,Michigan,BIG10,2021
Keon Coleman,recruit,WR,5.7,3,Michigan,BIG10,2021
Davion Primm,recruit,RB,5.6,3,Michigan,BIG10,2021
Hampton Fay,recruit,QB,5.5,3,Michigan,BIG10,2021
Kameron  Allen,recruit,TE,5.5,3,Michigan,BIG10,2021
Brady Boyd,recruit,WR,5.7,3,Minnesota,BIG10,2021
Lemeke Brockington,recruit,WR,5.7,3,Minnesota,BIG10,2021
Dino Kaliakmanis,recruit,WR,5.7,3,Minnesota,BIG10,2021
Athan Kaliakmanis,recruit,QB,5.7,3,Minnesota,BIG10,2021
Mar'Keise Irving,recruit,RB,5.7,3,Minnesota,BIG10,2021
Jameson Geers,recruit,TE,5.7,3,Minnesota,BIG10,2021
