name,class,pos,rate,star,school,conf,year
Jacorey Brooks,recruit,WR,6,4,alabama,SEC,2021
Christian Leary,recruit,WR,6,4,alabama,SEC,2021
JoJo Earle,recruit,WR,6,4,alabama,SEC,2021
Agiye Hall,recruit,WR,5.9,4,alabama,SEC,2021
Camar Wheaton,recruit,RB,6.1,5,alabama,SEC,2021
Jalen Milroe,recruit,QB,5.9,4,alabama,SEC,2021
"Robbie	 Ouzts",recruit,TE,5.6,3,alabama,SEC,2021
Bryce Stephens,recruit,WR,5.7,3,arkansas,SEC,2021
Ketron Jackson,recruit,WR,5.8,4,arkansas,SEC,2021
Jaedon Wilson,recruit,WR,5.6,3,arkansas,SEC,2021
Javion Hunt,recruit,RB,5.6,3,arkansas,SEC,2021
Raheim Sanders,recruit,ATH,5.8,4,arkansas,SEC,2021
Landon Rogers,recruit,QB,5.5,3,arkansas,SEC,2021
Lucas Coley,recruit,QB,5.6,3,arkansas,SEC,2021
AJ Green,recruit,RB,5.7,3,arkansas,SEC,2021
Erin Outley,recruit,TE,5.6,3,arkansas,SEC,2021
Hal Presley,recruit,WR,5.7,3,auburn,SEC,2021
Jarquez Hunter,recruit,RB,5.6,3,auburn,SEC,2021
Tarvarish Dawson,recruit,ATH,5.7,3,auburn,SEC,2021
Dematrius Davis,recruit,QB,5.8,4,auburn,SEC,2021
Landen King,recruit,TE,5.7,3,auburn,SEC,2021
Daejon Reynolds,recruit,WR,5.8,4,florida,SEC,2021
Marcus Burke,recruit,WR,5.8,4,florida,SEC,2021
Jalen Kitna,recruit,QB,5.6,3,florida,SEC,2021
Carlos Del Rio,recruit,QB,5.9,4,florida,SEC,2021
Gage Wilcox,recruit,TE,5.8,4,florida,SEC,2021
Nick Elksnis,recruit,TE,5.7,3,florida,SEC,2021
Chauncey Magwood,recruit,WR,5.7,3,kentucky,SEC,2021
Christian Lewis,recruit,WR,5.8,4,kentucky,SEC,2021
Dekel Crowdus,recruit,WR,5.7,3,kentucky,SEC,2021
Kaiya Sheron,recruit,QB,5.6,3,kentucky,SEC,2021
LaVell Wright,recruit,RB,5.6,3,kentucky,SEC,2021
Jordan Dingle,recruit,TE,5.7,3,kentucky,SEC,2021
Malik Nabers,recruit,WR,5.8,4,LSU,SEC,2021
Brian Thomas,recruit,WR,5.9,4,LSU,SEC,2021
Chris Hilton,recruit,WR,5.9,4,LSU,SEC,2021
Deion Smith,recruit,WR,5.9,4,LSU,SEC,2021
Corey Kiner,recruit,RB,5.9,4,LSU,SEC,2021
Garrett Nussmeier,recruit,QB,5.9,4,LSU,SEC,2021
Armoni Goodwin,recruit,RB,5.9,4,LSU,SEC,2021
Jalen Shead,recruit,TE,5.6,3,LSU,SEC,2021
Jack Bech,recruit,TE,5.8,4,LSU,SEC,2021
Theodore Knox,recruit,WR,5.8,4,mississippi,SEC,2021
Rodarius Thomas,recruit,WR,5.6,3,mississippi,SEC,2021
William Hardrick,recruit,WR,5.2,2,mississippi,SEC,2021
Jacobi Moore,recruit,WR,5.6,3,mississippi,SEC,2021
Antonio Harmon,recruit,WR,5.8,4,mississippi,SEC,2021
Simeon Price,recruit,ATH,5.6,3,mississippi,SEC,2021
"Daniel	 Greek",recruit,QB,5.5,3,mississippi,SEC,2021
Sawyer Robertson,recruit,QB,5.8,4,mississippi,SEC,2021
Ke'Travion Hargrove,recruit,RB,5.8,4,mississippi,SEC,2021
Dominic Lovett,recruit,WR,5.8,4,missouri,SEC,2021
BJ Harris,recruit,RB,5.6,3,missouri,SEC,2021
Taj Butts,recruit,RB,5.7,3,missouri,SEC,2021
Davion Sistrunk,recruit,ATH,5.6,3,missouri,SEC,2021
Tyler  Macon,recruit,QB,5.8,4,missouri,SEC,2021
Ryan Hoerstkamp,recruit,TE,5.6,3,missouri,SEC,2021
Gavin McKay,recruit,TE,5.5,3,missouri,SEC,2021
Bralon Brown,recruit,WR,5.9,4,ole miss,SEC,2021
Qua  Davis ,recruit,WR,5.7,3,ole miss,SEC,2021
Brandon Buckhaulter,recruit,WR,5.6,3,ole miss,SEC,2021
JJ Henry,recruit,WR,5.6,3,ole miss,SEC,2021
Tysheem Johnson,recruit,ATH,5.8,4,ole miss,SEC,2021
Luke Altmyer,recruit,QB,5.8,4,ole miss,SEC,2021
Hudson Wolfe,recruit,TE,6,4,ole miss,SEC,2021
Sam Reynolds,recruit,WR,5.5,3,carolina,SEC,2021
O'Mega Blake,recruit,ATH,5.6,3,carolina,SEC,2021
Colten Gauthier,recruit,QB,5.8,4,carolina,SEC,2021
Caleb McDowell,recruit,RB,5.6,3,carolina,SEC,2021
Shadrach Banks,recruit,WR,5.8,4,texas,SEC,2021
Yulkeith Brown Jr,recruit,WR,5.8,4,texas,SEC,2021
LJ Johnson,recruit,RB,6,4,texas,SEC,2021
Eli Stowers,recruit,QB,5.8,4,texas,SEC,2021
Amari Daniels,recruit,RB,5.9,4,texas,SEC,2021
Dametrious Crownover,recruit,TE,5.7,3,texas,SEC,2021
Fernando Garza,recruit,TE,5.7,3,texas,SEC,2021
Walker Merrill,recruit,WR,5.8,4,tennessee,SEC,2021
Andison Coby,recruit,WR,5.5,3,tennessee,SEC,2021
Julian Nixon,recruit,WR,5.7,3,tennessee,SEC,2021
Tiyon Evans,recruit,RB,5.6,3,tennessee,SEC,2021
Kaemen  Marley,recruit,ATH,5.9,4,tennessee,SEC,2021
Christian Charles,recruit,ATH,5.6,3,tennessee,SEC,2021
Kaidon Salter,recruit,QB,5.8,4,tennessee,SEC,2021
Jaylen Wright,recruit,RB,5.7,3,tennessee,SEC,2021
Trinity Bell,recruit,TE,5.7,3,tennessee,SEC,2021
Miles Campbell,recruit,TE,5.7,3,tennessee,SEC,2021
Adonai Mitchell,recruit,WR,5.8,4,georgia,SEC,2021
Jackson Meeks,recruit,WR,5.7,3,georgia,SEC,2021
Lovasea Carroll,recruit,RB,5.9,4,georgia,SEC,2021
Brock Vandagriff,recruit,QB,6.1,5,georgia,SEC,2021
Brock Bowers,recruit,TE,5.9,4,georgia,SEC,2021
Gamarion Carter,recruit,WR,5.5,3,vanderbilt,SEC,2021
Quincy Skinner,recruit,WR,5.8,4,vanderbilt,SEC,2021
Patrick Smith,recruit,RB,5.4,2,vanderbilt,SEC,2021
Dylan Betts-Pauley,recruit,RB,5.5,3,vanderbilt,SEC,2021
Ezra McAllister,recruit,ATH,5.4,2,vanderbilt,SEC,2021
CJ Taylor,recruit,ATH,5.5,3,vanderbilt,SEC,2021
