rivals_school_name,rivals_school_id,school_id,conf_id
alabama,73,alabama,SEC
arkansas,74,arkansas,SEC
auburn,75,auburn,SEC
florida,67,florida,SEC
kentucky,69,kentucky,SEC
lsu,76,LSU,SEC
mississippistate,78,mississippi,SEC
missouri,22,missouri,SEC
olemiss,77,ole miss,SEC
southcarolina,70,carolina,SEC
tamu,84,texas,SEC
tennessee,71,tennessee,SEC
uga,68,georgia,SEC
vanderbilt,72,vanderbilt,SEC
