name,class,pos,rate,star,school,conf,year
Tyseer Denmark,recruit,WR,5.8,4,Penn,BIG10,2024
Josiah Brown,recruit,WR,5.7,3,Penn,BIG10,2024
Peter Gonzalez,recruit,WR,5.5,3,Penn,BIG10,2024
Quinton Martin,recruit,RB,5.9,4,Penn,BIG10,2024
Corey Smith,recruit,RB,5.8,4,Penn,BIG10,2024
Ethan Grunkemeyer,recruit,QB,5.8,4,Penn,BIG10,2024
Luke Reynolds,recruit,TE,5.8,4,Penn,BIG10,2024
Mario Sanders,recruit,WR,5.6,3,Illinois,BIG10,2024
Tysean Griffin,recruit,WR,5.8,4,Illinois,BIG10,2024
Carlos Orr,recruit,WR,5.6,3,Illinois,BIG10,2024
Ca'lil Valentine,recruit,RB,5.8,4,Illinois,BIG10,2024
Easton Baker,recruit,ATH,5.5,3,Illinois,BIG10,2024
Trey Petty,recruit,QB,5.7,3,Illinois,BIG10,2024
Tanner Hollinger,recruit,TE,5.3,2,Illinois,BIG10,2024
Charlie Becker,recruit,WR,5.6,3,Indiana,BIG10,2024
Khobie Martin,recruit,RB,5.5,3,Indiana,BIG10,2024
Tyler Cherry,recruit,QB,5.8,4,Indiana,BIG10,2024
Alberto Mendoza,recruit,QB,5.6,3,Indiana,BIG10,2024
Brody Kosin,recruit,TE,5.7,3,Indiana,BIG10,2024
Reece Vander Zee,recruit,WR,5.6,3,Iowa,BIG10,2024
Xavier Williams,recruit,RB,5.6,3,Iowa,BIG10,2024
Brevin Doll,recruit,RB,5.6,3,Iowa,BIG10,2024
KJ Parker,recruit,ATH,5.6,3,Iowa,BIG10,2024
James Resar,recruit,QB,5.6,3,Iowa,BIG10,2024
Gavin Hoffman,recruit,TE,5.7,3,Iowa,BIG10,2024
Michael Burt,recruit,TE,5.6,3,Iowa,BIG10,2024
Josiah McLaurin,recruit,WR,5.5,3,Maryland,BIG10,2024
Jahmari Powell-Wonson,recruit,WR,5.5,3,Maryland,BIG10,2024
Mekhai White,recruit,WR,5.8,4,Maryland,BIG10,2024
DeJuan Williams,recruit,RB,5.7,3,Maryland,BIG10,2024
Lakhi Roland,recruit,ATH,5.6,3,Maryland,BIG10,2024
Shamar McIntosh,recruit,ATH,5.5,3,Maryland,BIG10,2024
Khristian Martin,recruit,QB,5.6,3,Maryland,BIG10,2024
Channing Goodwin,recruit,WR,5.7,3,Michigan,BIG10,2024
I'Marion Stewart,recruit,WR,5.9,4,Michigan,BIG10,2024
Jordan Marshall,recruit,RB,6.0,4,Michigan,BIG10,2024
Micah Kaapana,recruit,RB,5.7,3,Michigan,BIG10,2024
Jadyn Davis,recruit,QB,6.0,4,Michigan,BIG10,2024
Brady Prieskorn,recruit,TE,5.9,4,Michigan,BIG10,2024
Hogan Hansen,recruit,TE,5.8,4,Michigan,BIG10,2024
Jaylan Brown,recruit,WR,5.5,3,Michigan,BIG10,2024
Nick Marsh,recruit,WR,5.8,4,Michigan,BIG10,2024
Austin Clay,recruit,WR,5.4,2,Michigan,BIG10,2024
Brandon Tullis,recruit,RB,5.5,3,Michigan,BIG10,2024
Andrew Brinson,recruit,ATH,5.7,3,Michigan,BIG10,2024
Makhi Frazier,recruit,ATH,5.5,3,Michigan,BIG10,2024
Ryland Jessee,recruit,QB,5.5,3,Michigan,BIG10,2024
Alessio Milivojevic,recruit,QB,5.6,3,Michigan,BIG10,2024
Wyatt Hook,recruit,TE,5.5,3,Michigan,BIG10,2024
Dallas Sims,recruit,WR,5.7,3,Minnesota,BIG10,2024
Jalen Smith,recruit,WR,5.6,3,Minnesota,BIG10,2024
Ohifame Ijeboi,recruit,RB,5.5,3,Minnesota,BIG10,2024
Jaydon Wright,recruit,RB,5.5,3,Minnesota,BIG10,2024
Drake Lindsey,recruit,QB,5.5,3,Minnesota,BIG10,2024
Jacob Simpson,recruit,TE,5.6,3,Minnesota,BIG10,2024
Julian Johnson,recruit,TE,5.6,3,Minnesota,BIG10,2024
Jacory Barney Jr.,recruit,WR,5.8,4,Nebraska,BIG10,2024
Isaiah McMorris,recruit,WR,5.7,3,Nebraska,BIG10,2024
Dae'vonn Hall,recruit,WR,5.8,4,Nebraska,BIG10,2024
Quinn Clark,recruit,WR,5.5,3,Nebraska,BIG10,2024
Roger Gradney,recruit,ATH,5.7,3,Nebraska,BIG10,2024
Mekhi Nelson,recruit,ATH,5.5,3,Nebraska,BIG10,2024
Braylen Prude,recruit,ATH,5.5,3,Nebraska,BIG10,2024
Dylan Raiola,recruit,QB,6.1,5,Nebraska,BIG10,2024
Daniel Kaelin,recruit,QB,5.6,3,Nebraska,BIG10,2024
Carter Nelson,recruit,TE,5.9,4,Nebraska,BIG10,2024
Eric Ingwerson,recruit,TE,5.5,3,Nebraska,BIG10,2024
Ian Flynt,recruit,TE,5.8,4,Nebraska,BIG10,2024
Keelan Smith,recruit,TE,5.7,3,Nebraska,BIG10,2024
Carson Grove,recruit,WR,5.4,2,Northwestern,BIG10,2024
Hayden Eligon II,recruit,WR,5.5,3,Northwestern,BIG10,2024
Dashun Reeder,recruit,RB,5.5,3,Northwestern,BIG10,2024
Sean Martin,recruit,ATH,5.4,2,Northwestern,BIG10,2024
Ryan Boe,recruit,QB,5.3,2,Northwestern,BIG10,2024
Patrick Schaller,recruit,TE,5.6,3,Northwestern,BIG10,2024
Braxton Strong,recruit,TE,5.4,2,Northwestern,BIG10,2024
Jeremiah Smith,recruit,WR,6.1,5,Ohio State,BIG10,2024
Mylan Graham,recruit,WR,6.0,4,Ohio State,BIG10,2024
James Peoples,recruit,RB,5.9,4,Ohio State,BIG10,2024
Samuel Dixon,recruit,RB,5.6,3,Ohio State,BIG10,2024
Air Noland,recruit,QB,6.1,5,Ohio State,BIG10,2024
Max LeBlanc,recruit,TE,5.8,4,Ohio State,BIG10,2024
Damarion Witten,recruit,TE,5.8,4,Ohio State,BIG10,2024
Leland Smith,recruit,WR,5.6,3,Purdue,BIG10,2024
Donovan Hamilton,recruit,WR,5.6,3,Purdue,BIG10,2024
Tra'Mar Harris,recruit,WR,5.7,3,Purdue,BIG10,2024
Shamar Rigby,recruit,WR,5.7,3,Purdue,BIG10,2024
Jesse Watson,recruit,WR,5.6,3,Purdue,BIG10,2024
Jaheim Merriweather,recruit,ATH,5.6,3,Purdue,BIG10,2024
Marcos Davila,recruit,QB,5.7,3,Purdue,BIG10,2024
Tayvion Galloway,recruit,TE,5.8,4,Purdue,BIG10,2024
Isaiah Crumpler,recruit,WR,5.5,3,Rutgers,BIG10,2024
Edd Guerrier,recruit,RB,5.6,3,Rutgers,BIG10,2024
Antwan Raymond,recruit,RB,5.8,4,Rutgers,BIG10,2024
Gabriel Winowich,recruit,ATH,5.7,3,Rutgers,BIG10,2024
Benjamin Black,recruit,ATH,5.6,3,Rutgers,BIG10,2024
Kevin Levy,recruit,ATH,5.5,3,Rutgers,BIG10,2024
Noah Shaw,recruit,ATH,5.5,3,Rutgers,BIG10,2024
AJ Surace,recruit,QB,5.7,3,Rutgers,BIG10,2024
