name,class,pos,rate,star,school,conf,year
Jadon Porter,recruit,WR,5.7,3,Baylor,BIG12,2024
Joseph Dodds,recruit,RB,5.6,3,Baylor,BIG12,2024
Mason Dossett,recruit,ATH,5.6,3,Baylor,BIG12,2024
Nate Bennett,recruit,QB,5.5,3,Baylor,BIG12,2024
Brett Eskildsen,recruit,WR,5.6,3,Iowa,BIG12,2024
Dominic Overby,recruit,WR,5.3,2,Iowa,BIG12,2024
Khijohnn Cummings-Coleman,recruit,WR,5.5,3,Iowa,BIG12,2024
Dylan Lee,recruit,RB,5.6,3,Iowa,BIG12,2024
Marcus Neal,recruit,ATH,5.5,3,Iowa,BIG12,2024
Connor Moberly,recruit,QB,5.5,3,Iowa,BIG12,2024
Cooper Alexander,recruit,TE,5.7,3,Iowa,BIG12,2024
Keaton Roskop,recruit,TE,5.6,3,Iowa,BIG12,2024
Harry Stewart III,recruit,RB,5.7,3,Kansas,BIG12,2024
Red Martel,recruit,RB,5.6,3,Kansas,BIG12,2024
Isaiah Marshall,recruit,QB,5.7,3,Kansas,BIG12,2024
Greydon Grimes,recruit,TE,5.5,3,Kansas,BIG12,2024
Carson Bruhn,recruit,TE,5.6,3,Kansas,BIG12,2024
Jacques Spradley-Demps,recruit,WR,5.6,3,Kansas State,BIG12,2024
DeVon Rice,recruit,RB,5.5,3,Kansas State,BIG12,2024
Trae Davis,recruit,ATH,5.5,3,Kansas State,BIG12,2024
Blake Barnett,recruit,QB,5.8,4,Kansas State,BIG12,2024
John Price,recruit,RB,5.7,3,Kansas State,BIG12,2024
Tre' Griffiths,recruit,WR,5.7,3,Oklahoma State,BIG12,2024
Ladainian Fields,recruit,WR,5.7,3,Oklahoma State,BIG12,2024
Rodney Fields,recruit,RB,5.5,3,Oklahoma State,BIG12,2024
Maealiuaki Smith,recruit,QB,5.7,3,Oklahoma State,BIG12,2024
Jaden Allen-Hendrix,recruit,TE,5.4,2,Oklahoma State,BIG12,2024
Josh Ford,recruit,TE,5.5,3,Oklahoma State,BIG12,2024
