name,class,pos,rate,star,school,conf,year
John Dunmore,recruit,WR,5.9,4,Penn,BIG10,2019
TJ Jones,recruit,WR,5.7,3,Penn,BIG10,2019
Noah Cain,recruit,RB,6.0,4,Penn,BIG10,2019
Daequan Hardy,recruit,ATH,5.4,2,Penn,BIG10,2019
Michael Johnson Jr.,recruit,QB,5.7,3,Penn,BIG10,2019
Ta'Quan Roberson,recruit,QB,5.8,4,Penn,BIG10,2019
Devyn Ford,recruit,RB,6.0,4,Penn,BIG10,2019
Brenton Strange,recruit,TE,5.8,4,Penn,BIG10,2019
Casey Washington,recruit,WR,5.4,2,Illinois,BIG10,2019
Nick Fedanzo,recruit,RB,5.4,2,Illinois,BIG10,2019
Isaiah Williams,recruit,ATH,6.0,4,Illinois,BIG10,2019
Marquez Beason,recruit,ATH,5.9,4,Illinois,BIG10,2019
Kyron Cumby,recruit,RB,5.5,3,Illinois,BIG10,2019
Griffin Moore,recruit,TE,5.4,2,Illinois,BIG10,2019
Jordan Jakes,recruit,WR,5.5,3,Indiana,BIG10,2019
David Ellis,recruit,WR,5.5,3,Indiana,BIG10,2019
Sampson James,recruit,RB,5.8,4,Indiana,BIG10,2019
Ivory Winters,recruit,RB,5.5,3,Indiana,BIG10,2019
Da'Shaun Brown,recruit,ATH,5.7,3,Indiana,BIG10,2019
Gary Cooper,recruit,TE,5.5,3,Indiana,BIG10,2019
Desmond Hutson,recruit,WR,5.5,3,Iowa,BIG10,2019
Shadrick Byrd,recruit,RB,5.5,3,Iowa,BIG10,2019
Taajhir  McCall,recruit,ATH,5.4,2,Iowa,BIG10,2019
Alex Padilla,recruit,QB,5.5,3,Iowa,BIG10,2019
Tyler  Goodson,recruit,RB,5.6,3,Iowa,BIG10,2019
Josiah Miamen,recruit,TE,5.5,3,Iowa,BIG10,2019
Logan Lee,recruit,TE,5.7,3,Iowa,BIG10,2019
Sam LaPorta,recruit,TE,5.5,3,Iowa,BIG10,2019
Isaiah Hazel,recruit,WR,5.8,4,Maryland,BIG10,2019
Dino Tomlin,recruit,ATH,5.4,2,Maryland,BIG10,2019
Lavonte Gater,recruit,ATH,5.5,3,Maryland,BIG10,2019
Lance Legendre,recruit,QB,5.8,4,Maryland,BIG10,2019
Tyler Devera,recruit,TE,5.4,2,Maryland,BIG10,2019
Malik Jackson,recruit,TE,5.4,2,Maryland,BIG10,2019
Cornelius Johnson,recruit,WR,5.8,4,Michigan,BIG10,2019
Giles Jackson,recruit,WR,5.8,4,Michigan,BIG10,2019
Quintel Kent,recruit,WR,5.6,3,Michigan,BIG10,2019
Zach Charbonnet,recruit,RB,6.0,4,Michigan,BIG10,2019
Mike Sainristil,recruit,ATH,5.6,3,Michigan,BIG10,2019
George Johnson III,recruit,ATH,5.6,3,Michigan,BIG10,2019
Cade McNamara,recruit,QB,5.8,4,Michigan,BIG10,2019
Erick All,recruit,TE,5.8,4,Michigan,BIG10,2019
Jase Bowen,recruit,WR,5.6,3,Michigan,BIG10,2019
Tre'Von Morgan,recruit,WR,5.8,4,Michigan,BIG10,2019
Tre Mosley,recruit,WR,5.7,3,Michigan,BIG10,2019
Brandon Wright,recruit,RB,5.6,3,Michigan,BIG10,2019
Julian Barnett,recruit,ATH,5.9,4,Michigan,BIG10,2019
Payton Thorne,recruit,QB,5.5,3,Michigan,BIG10,2019
Anthony Williams Jr.,recruit,RB,5.6,3,Michigan,BIG10,2019
Michael Brown-Stephens,recruit,WR,5.5,3,Minnesota,BIG10,2019
Peter Udoibok,recruit,WR,5.4,2,Minnesota,BIG10,2019
Treyson Potts,recruit,RB,5.6,3,Minnesota,BIG10,2019
Cameron Wiley,recruit,ATH,5.5,3,Minnesota,BIG10,2019
Jason Williamson,recruit,ATH,5.5,3,Minnesota,BIG10,2019
Jacob Clark,recruit,QB,5.8,4,Minnesota,BIG10,2019
Cole Kramer,recruit,QB,5.5,3,Minnesota,BIG10,2019
Nnamdi Adim-Madumere,recruit,TE,5.6,3,Minnesota,BIG10,2019
Jamie Nance,recruit,WR,5.8,4,Nebraska,BIG10,2019
Demariyon Houston,recruit,WR,5.7,3,Nebraska,BIG10,2019
Dedrick Mills,recruit,RB,5.8,4,Nebraska,BIG10,2019
Ronald Thompkins,recruit,RB,5.7,3,Nebraska,BIG10,2019
Garrett Snodgrass,recruit,ATH,5.6,3,Nebraska,BIG10,2019
Wan'Dale Robinson,recruit,ATH,6.0,4,Nebraska,BIG10,2019
Luke McCaffrey,recruit,ATH,5.7,3,Nebraska,BIG10,2019
Darien Chase,recruit,ATH,5.7,3,Nebraska,BIG10,2019
Rahmir Johnson,recruit,RB,5.8,4,Nebraska,BIG10,2019
Chris Hickman,recruit,TE,5.7,3,Nebraska,BIG10,2019
Bryce Kirtz,recruit,WR,5.6,3,Northwestern,BIG10,2019
Wayne Dennis,recruit,WR,5.5,3,Northwestern,BIG10,2019
Genson Hooper,recruit,WR,5.6,3,Northwestern,BIG10,2019
Evan Hull,recruit,RB,5.3,2,Northwestern,BIG10,2019
Thomas Gordon,recruit,TE,5.6,3,Northwestern,BIG10,2019
Garrett Wilson,recruit,WR,6.0,4,Ohio State,BIG10,2019
Jameson Williams,recruit,WR,5.9,4,Ohio State,BIG10,2019
Marcus Crowley,recruit,RB,5.8,4,Ohio State,BIG10,2019
Ronnie Hickman,recruit,ATH,5.8,4,Ohio State,BIG10,2019
Craig Young,recruit,ATH,5.6,3,Ohio State,BIG10,2019
Steele Chambers,recruit,ATH,5.7,3,Ohio State,BIG10,2019
